"TIPO CONTRIBUYENTE","SECCIÓN","GRUPO","MeasuresLevel","2020/01 Enero","2020/02 Febrero","2020/03 Marzo","2020/04 Abril","2020/05 Mayo","2020/06 Junio","2020/07 Julio","2020/08 Agosto","2020/09 Septiembre","2020/10 Octubre","2020/11 Noviembre","2020/12 Diciembre","2021/01 Enero","2021/02 Febrero","2021/03 Marzo","2021/04 Abril","2021/05 Mayo","2021/06 Junio","2021/07 Julio","2021/08 Agosto","2021/09 Septiembre","2021/10 Octubre","2021/11 Noviembre","2021/12 Diciembre","2022/01 Enero","2022/02 Febrero","2022/03 Marzo","2022/04 Abril","2022/05 Mayo","2022/06 Junio","2022/07 Julio","2022/08 Agosto","2022/09 Septiembre","2022/10 Octubre","2022/11 Noviembre","2022/12 Diciembre","2023/01 Enero","2023/02 Febrero","2023/03 Marzo","2023/04 Abril","2023/05 Mayo","2023/06 Junio","2023/07 Julio","2023/08 Agosto","2023/09 Septiembre","2023/10 Octubre","2023/11 Noviembre","2023/12 Diciembre","2024/01 Enero","2024/02 Febrero","2024/03 Marzo","2024/04 Abril","2024/05 Mayo","2024/06 Junio","2024/07 Julio","2024/08 Agosto","2024/09 Septiembre","2024/10 Octubre","2024/11 Noviembre","2024/12 Diciembre","2025/01 Enero","2025/02 Febrero","2025/03 Marzo","2025/04 Abril","2025/05 Mayo","2025/06 Junio","2025/07 Julio","2025/08 Agosto","2025/09 Septiembre","2025/10 Octubre","2025/11 Noviembre","2025/12 Diciembre","2026/01 Enero"
"NO TIENE","U","IMPUESTO A LA RENTA GLOBAL","VALOR EFECTIVO","2271.0","","1378.72","","212.45","","3324.98","985.71","84.31","2847.82","","","8513.37","4257.26","7689.04","1592.94","47.68","3613.37","","6272.33","4622.59","3686.36","2596.57","","","2.33","4959.98","7873.31","7902.36","2455.18","3969.93","","","6323.69","1942.52","2897.73","","323.28","60.46","1112.78","171.57","305.34","98.95","209.04","181.08","","","5086.72","","122.51","111.79","2291.59","107.28","1052.59","","861.9","1079.21","","","5334.61","1125.16","143.46","","1708.25","1694.46","1955.57","2447.59","1157.8","191.21","","","",""
"NO TIENE","U","IMPUESTO A LOS CONSUMOS ESPECIALES","VALOR EFECTIVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.8","","","","","","","","","","","","","","","","","","","","","",""
"NO TIENE","U","IMPUESTO AL VALOR AGREGADO","VALOR EFECTIVO","3002.07","","1272.88","","3172.76","0.6","2515.89","1025.33","75.96","2152.8","","","11392.94","","14157.06","","","","3.57","8043.3","2271.57","4861.0","1710.77","5179.64","","","341.95","11981.61","11606.99","","5696.03","","","9593.18","","3583.63","999.18","4964.44","","4564.29","184.07","463.27","60.66","7185.44","","","","6056.04","","174.62","71.7","4367.65","363.89","2344.44","","1332.66","47.58","4374.93","","593.35","1731.24","4165.28","","1414.36","1944.44","1855.82","","1819.04","2620.54","210.91","","",""
"NO TIENE","U","INTERESES TRIBUTARIOS","VALOR EFECTIVO","38.69","","19.41","","44.09","5.89","46.06","15.24","1.23","37.9","","","149.68","30.14","180.77","11.28","0.66","24.46","0.02","96.2","31.06","133.59","27.18","32.68","","0.08","32.88","123.1","117.64","14.8","58.85","","0.37","95.09","13.69","45.63","7.08","37.39","0.42","41.05","2.66","5.76","1.19","55.68","1.36","","","88.14","","2.46","2.06","58.47","4.14","29.83","","20.85","10.7","41.76","","114.54","24.82","37.44","","26.47","24.35","27.13","17.26","20.98","19.82","1.41","","",""
"NO TIENE","U","MULTAS TRIBUTARIAS","VALOR EFECTIVO","162.87","","","","2.69","0.02","","","","","1.08","","","","361.99","30.0","2.85","","","","","","","","","","98.3","","0.25","0.09","1.4","","1.9","","","","7.54","10.27","30.0","4.38","0.02","","27.32","7.49","","","","","","","","","","","","","","1.34","","31.37","","","","","","","","","313.7","","","",""
"NO TIENE","U","OTROS NO TRIBUTARIOS","VALOR EFECTIVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.0","","","","","","","","","","60.0","","","","60.0","","","","","","","","120.0","","","","",""
"NO TIENE","V","CONTRIBUCIONES","VALOR EFECTIVO","","","","","413.78","426.23","448.23","","","","","","","","","","","","","","","","0.01","","","","","448381.94","136121.33","144393.16","166367.03","147687.33","155292.01","150920.6","17064.91","18420.65","","","","20450.35","32520.98","32763.91","33004.66","60653.52","","","","","579.27","2683.05","2705.27","2723.51","2747.42","277.01","","","","","","","","","","5532.54","6530.13","9531.7","22546.1","0.5","374.69","8.19","","",""
"NO TIENE","V","IMPUESTO A LA RENTA GLOBAL","VALOR EFECTIVO","34611.49","19889.08","30298.92","78927.35","67884.46","72160.28","75037.91","47054.02","37055.92","41350.33","41183.48","27284.85","31505.53","23824.65","49108.72","103803.72","67472.76","42162.57","57380.98","28227.27","24401.75","37457.34","14459.75","13656.34","17900.73","7911.24","86777.2","59144.52","73497.33","42140.61","45688.64","48928.56","41478.41","45154.18","11827.85","17366.62","20173.61","17320.28","36214.1","96176.01","70397.01","64581.94","56404.69","46172.66","108227.59","68915.13","51908.75","35636.98","42663.53","31812.34","65521.82","71130.94","44023.97","60838.8","96352.92","44170.17","38508.95","36878.62","34550.4","55835.37","42230.53","45706.92","118416.56","173616.95","100808.29","90018.05","88810.14","68737.44","79592.77","78225.1","42145.37","62579.02","33701.96"
"NO TIENE","V","IMPUESTO A LOS VEHICULOS MOTORIZADOS","VALOR EFECTIVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.76","","","","","",""
"NO TIENE","V","IMPUESTO AL VALOR AGREGADO","VALOR EFECTIVO","3611.96","404.39","7017.4","14486.03","913.69","929.73","9717.14","1056.33","5702.78","1109.06","951.02","1121.37","1534.09","269.08","10086.21","8812.94","1979.86","6805.21","17194.76","464.9","300.0","9070.38","","","2833.77","","9.46","2206.89","519.66","949.2","29.64","2867.74","1.44","1.8","0.84","0.84","310.62","710.93","75.96","","0.51","5997.93","298.93","6.0","14.13","0.01","","77.87","565.19","0.36","0.85","493.95","485.83","219.35","14.8","154.72","188.01","16.81","401.89","","321.1","214.55","2010.44","132.31","493.53","186.04","101.53","149.17","29.38","530.13","792.95","46.93","5.74"
"NO TIENE","V","INTERESES TRIBUTARIOS","VALOR EFECTIVO","2799.99","1752.4","2755.82","5803.38","5068.15","4548.66","4708.88","4351.64","1904.36","2734.03","3623.12","1469.88","3016.61","1512.86","3233.99","17452.76","5619.56","2131.16","3345.48","1766.33","2866.04","3297.83","1524.24","1580.31","1849.12","1163.26","1835.5","7030.72","17233.63","7511.53","8527.59","5345.6","4193.77","2447.89","2277.22","3241.82","18720.49","4697.75","10246.59","21296.61","19741.97","10868.28","5269.76","3595.2","7188.14","10719.05","4363.51","3975.16","24384.8","3530.12","5741.71","3601.02","5027.9","6127.3","54375.7","5560.24","25528.13","7607.14","6748.62","14485.39","11637.92","10013.87","17813.36","21453.84","15502.76","19127.94","14703.29","11079.36","9535.7","7454.1","5127.7","16345.78","3150.7"
"NO TIENE","V","MULTAS TRIBUTARIAS","VALOR EFECTIVO","2498.8","855.54","1603.86","2736.37","1730.2","4034.3","7215.9","3625.42","2901.88","2789.82","3075.09","1845.87","2847.43","3013.21","3823.76","4081.13","3917.89","4560.23","4103.93","2200.32","2903.56","2746.43","1986.34","3414.53","3957.28","4656.96","9432.34","5735.97","3622.44","2496.52","4969.77","3430.0","1721.77","1401.54","5077.55","8121.94","3576.95","3869.14","5738.1","9198.25","5475.1","3759.9","3466.73","3379.6","3409.29","6059.66","3969.78","4975.95","630.97","433.92","2997.94","6040.94","2053.7","1363.22","3118.71","2844.92","1448.8","1549.49","1255.36","2220.16","6764.97","9416.33","17299.41","15235.83","11205.44","5601.07","3842.28","2726.99","2913.45","3686.9","3814.69","16628.21","2929.01"
"NO TIENE","V","OTROS NO TRIBUTARIOS","VALOR EFECTIVO","3120.0","4100.38","540.0","392.0","1760.0","2940.0","1560.0","6720.0","5097.94","4340.0","240.0","179.31","837.57","904.24","265.26","1826.8","207.79","","3083.69","33.38","2037.33","600.0","1000.0","1120.0","900.0","4000.0","846.6","360.0","1894.79","923.89","1315.33","1102.85","2140.8","1989.52","5026.36","3732.68","2544.79","2440.05","4112.32","3420.04","3404.97","4716.38","2078.47","3714.27","1779.69","1181.35","1609.43","1692.95","1124.39","1749.06","1241.91","1147.61","1014.89","898.18","2376.64","1333.33","1890.12","2749.17","1678.51","2557.53","1739.82","1532.32","1612.72","1377.06","1547.37","1134.0","1177.4","1856.53","1405.39","2057.82","1409.37","1804.5","1615.99"
"NO TIENE","V","REGIMEN IMPOSITIVO SIMPLIFICADO","VALOR EFECTIVO","","","","","","","","","","","","","","","","","","","","","","7.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NO TIENE","V","SALIDA DE DIVISAS","VALOR EFECTIVO","646.33","82.05","51.7","52.08","52.47","395.66","53.23","53.55","35.53","35.8","36.08","36.35","36.63","59.38","","","","","","","","","","","474.49","368.67","","","","","68827.5","","","","","","","","","","","1678.8","2216.93","704.52","2428.42","1262.79","326.93","54.63","19.31","29.53","71.91","169.36","","","","","","","","","","","","","38.85","7619.64","4759.43","2737.05","618.45","57.89","58.51","8.36","59.3"
"NO TIENE","W","CONTRIBUCIONES","VALOR EFECTIVO","38.94","","178.86","25.96","38.94","943.5","","","","","","","19407.57","","","","","","440.31","","612.19","","","","","","","262620.32","177817.05","158933.23","139547.54","203657.48","153033.68","139791.96","10995.98","8671.41","633.27","5283.01","","","","","2369.36","4299.85","4332.23","4361.81","3914.13","","514.64","2521.74","580.27","1636.69","589.31","59.36","","","","","","","","","1227.46","","","","","","","","","",""
"NO TIENE","W","IMPUESTO A LA RENTA GLOBAL","VALOR EFECTIVO","19797.1","6605.04","18576.77","115969.34","43053.81","31841.57","46754.93","20000.11","33012.69","38347.54","33566.83","33738.13","24802.29","20272.35","87395.08","53197.42","30153.87","42230.44","191636.2","154319.68","36721.41","11611.08","12925.86","9609.27","26981.82","5639.81","39853.06","71996.45","52951.81","63407.5","20151.06","31927.02","44435.58","21137.99","13145.38","31231.73","25563.7","18839.67","83770.01","57745.75","69610.03","65448.47","37347.68","30140.77","34449.67","115419.58","56717.79","24495.2","61582.71","44215.82","229810.26","90494.84","48491.49","20705.62","65012.08","15064.94","30216.78","33967.71","30237.35","42148.37","32315.81","42101.28","80813.97","130923.72","206984.11","47766.43","19497.04","17338.63","25093.58","19554.21","5716.6","7583.96","7480.06"
"NO TIENE","W","IMPUESTO A LOS VEHICULOS MOTORIZADOS","VALOR EFECTIVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NO TIENE","W","IMPUESTO AL VALOR AGREGADO","VALOR EFECTIVO","11.99","1235.01","6.46","4.73","274.76","15.77","375.04","287.28","712.2","1078.98","257.05","28.49","36.66","87.7","193.18","904.31","160.04","98.8","108.0","187.02","38.86","233.94","6.47","95.89","896.44","28.89","258.17","150.0","11.49","399.41","506.59","","246.81","348.6","978.28","1045.35","403.24","1436.14","572.08","239.26","7.58","416.57","51.24","1282.88","240.72","57.12","314.35","19.5","54.41","117.48","152.32","4.43","274.99","383.11","2411.73","355.85","566.61","215.93","2602.61","425.58","1133.26","715.6","345.35","890.89","847.96","467.84","630.3","1779.12","779.68","955.47","260.43","417.41","322.51"
"NO TIENE","W","INTERESES TRIBUTARIOS","VALOR EFECTIVO","6007.62","2389.22","403.02","2075.56","2232.11","2306.36","3475.44","2918.75","2456.13","5391.27","3188.15","5816.61","1420.13","1484.96","3364.7","3316.02","198685.81","137748.16","10133.23","5076.25","3498.8","558.5","651.93","523.68","5049.21","1380.65","3088.61","4587.55","15464.36","9863.03","4333.53","8812.27","5295.01","2160.39","652.61","2066.16","1028.75","2031.91","2720.89","1694.59","4781.81","3901.19","15159.7","2634.91","3730.41","55941.95","7566.42","2023.52","5917.76","4137.61","3226.66","8034.89","4719.09","1487.57","7368.87","3762.94","15017.65","6964.19","4228.75","4271.37","3416.34","2404.41","3031.4","6155.24","5769.41","10088.2","3496.74","3529.74","1634.73","4007.6","521.06","1221.24","5416.55"
"NO TIENE","W","MULTAS TRIBUTARIAS","VALOR EFECTIVO","581.2","152.13","1141.1","573.54","556.88","749.26","2520.2","911.35","861.99","865.68","2086.33","887.66","319.51","417.21","1581.34","1319.88","2534.38","2050.51","3503.42","2577.31","2036.87","1679.69","3855.06","2612.86","7952.06","2553.68","1858.7","2010.6","2355.59","2904.92","3534.24","1621.96","336.55","402.01","363.9","1830.46","2023.57","699.65","1357.02","1514.75","1169.47","746.57","874.8","362.8","406.81","66.95","1583.06","4827.64","48.8","4.59","817.44","1155.38","329.43","424.51","369.57","363.21","660.88","259.11","833.49","844.37","427.43","781.52","3748.54","1961.69","858.31","1048.53","1088.05","532.56","1537.08","1916.06","62.15","136.83","223.12"
"NO TIENE","W","OTROS NO TRIBUTARIOS","VALOR EFECTIVO","","3101.62","60.0","120.0","500.0","","100.0","100.0","","1765.0","220.0","100.0","280.0","50.0","170.0","2500.0","300.0","1713.76","1020.0","","1060.0","2680.0","180.0","962.5","1100.0","","1620.0","","360.0","1622.18","734.91","2289.48","3088.86","2820.59","2818.29","2877.34","1230.58","380.58","620.58","929.68","2778.75","1365.15","1297.88","837.88","637.88","637.88","757.88","757.88","697.88","947.78","478.68","549.44","299.68","166.98","406.98","482.49","91.31","240.0","62.62","120.0","242.62","151.31","91.31","1831.31","31.31","208.71","1722.22","213.81","231.31","91.31","60.0","180.0","60.0"
"NO TIENE","W","SALIDA DE DIVISAS","VALOR EFECTIVO","","","17.88","","","","","","","","","","","2.99","","","","","","","","","","220.26","282.33","356.53","282.08","161.16","","","","","","","","","","","","","","1005.44","2237.87","65.74","402.02","157.62","330.22","","","","","","","","","10.7","","","","","","","","","","3585.52","2333.44","199.71","377.24","82.67","83.53","31.07","56.79"
"NO TIENE","X","IMPUESTO A LA RENTA GLOBAL","VALOR EFECTIVO","","","10.18","788.12","1781.13","655.88","178.8","279.07","735.23","423.6","919.28","562.06","719.92","1868.42","1125.95","1748.62","1155.78","679.72","571.03","636.51","638.09","399.08","683.85","1041.16","527.83","513.89","2004.27","826.16","476.68","1154.13","206.11","227.31","193.06","242.15","212.73","719.07","295.88","93.28","449.15","3083.72","2150.79","2058.28","1913.17","631.66","329.59","292.36","303.29","265.62","159.93","124.72","2385.47","2345.07","204.73","193.21","222.74","","1083.31","1.44","","","552.19","1352.51","2020.12","2290.24","1607.47","176.84","59.06","90.38","61.3","308.13","92.65","93.31","373.72"
"NO TIENE","X","IMPUESTO A LOS CONSUMOS ESPECIALES","VALOR EFECTIVO","","","","","","","","","","","","","0.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NO TIENE","X","IMPUESTO AL VALOR AGREGADO","VALOR EFECTIVO","","","3.0","","","","","5.73","","7.84","6.12","","","0.47","0.48","","","","","1.2","","","3.67","","","","1.62","","","","","","1.71","0.2","2.4","2.4","2.7","","11.1","45.59","40.7","36.99","","","59.17","","","","","","","37.54","59.3","","0.52","","","0.3","","91.85","60.12","","15.75","","22.5","","2.45","3.71","43.9","","0.6","",""
"NO TIENE","X","INTERESES TRIBUTARIOS","VALOR EFECTIVO","","","2.62","5.78","245.06","1500.58","253.66","427.28","943.76","290.58","248.08","204.71","469.0","160.29","149.26","61.08","100.41","50.66","35.21","189.27","53.49","237.73","147.0","53.22","22.29","25.16","26.6","66.93","14.61","28.6","8.97","8.83","6.79","329.02","35.24","342.26","33.25","30.18","27.33","101.7","69.81","61.78","30.19","120.89","16.83","13.34","12.28","13.93","6.73","1.87","20.11","281.45","5.78","5.0","7.72","","57.05","0.45","","0.92","56.3","148.39","47.72","218.13","43.46","86.85","77.32","91.23","13.77","33.79","31.51","8.11","24.45"
"NO TIENE","X","MULTAS TRIBUTARIAS","VALOR EFECTIVO","","48.15","45.09","6.51","16.0","29.16","1.85","30.0","8.71","12.94","12.92","43.03","12.97","21.49","121.63","177.12","225.68","81.05","87.0","114.53","56.94","355.24","45.9","59.85","89.85","173.02","62.14","190.35","310.81","307.49","70.84","0.01","45.53","81.34","13.44","516.55","4.86","128.07","363.43","167.29","278.14","77.47","140.19","334.98","121.04","488.9","25.42","75.0","3.96","2792.51","109.63","461.81","138.97","194.11","182.98","","5.6","1.44","0.03","0.11","48.89","717.37","109.0","1297.65","210.35","195.17","73.2","","1.58","131.86","100.99","36.72","121.91"
"NO TIENE","X","OTROS NO TRIBUTARIOS","VALOR EFECTIVO","60.0","","","60.0","60.0","","","","60.0","","","","","60.0","","","","","","","","","","60.0","","180.0","","","60.0","","60.0","","240.0","","60.0","120.0","","","1180.0","425.0","420.0","60.0","120.0","120.0","120.0","","","","","120.0","120.0","","","","60.0","","","","","120.0","180.0","140.0","444.35","488.71","248.71","128.71","248.71","24.35","240.89","324.35","84.35","324.35","133.45"
"NO TIENE","X","REGIMEN IMPOSITIVO SIMPLIFICADO","VALOR EFECTIVO","68.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NO TIENE","X","SALIDA DE DIVISAS","VALOR EFECTIVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","271.19","315.57","371.63","","","","",""
"PERSONAS NATURALES","9","CONTRIBUCIONES","VALOR EFECTIVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PERSONAS NATURALES","9","IMPUESTO A LA RENTA GLOBAL","VALOR EFECTIVO","501.34","268.56","412.35","116.59","544.31","201.18","782.7","397.61","0.0","0.0","302.86","693.92","607.77","0.0","254.42","23.07","0.0","0.0","288.41","0.0","0.0","0.0","0.0","0.0","12.23","0.0","0.0","0.02","3.04","0.0","84.92","0.0","0.0","0.0","0.0","","","","0.0","","","","","60.0","","","","","","","","","","","","","","","","","25.0","","0.0","","","","","","","","","",""
"PERSONAS NATURALES","9","IMPUESTO A LOS VEHICULOS MOTORIZADOS","VALOR EFECTIVO","24.8","190.29","","24.66","15.0","3.81","953.52","0.0","760.4","","5.5","","1.57","37.44","","27.81","30.23","6.0","131.92","5.2","7.95","","1.21","","","24.56","9.0","","15.0","15.81","45.43","17.04","13.0","4.86","","0.65","","12.16","38.95","","3.81","0.6","17.2","2.5","96.24","15.8","","","","241.54","","","94.84","","","29.75","","23.0","15.8","6.0","","6.0","18.46","15.0","","","","15.0","1.22","5.13","19.61","0.66",""
"PERSONAS NATURALES","9","IMPUESTO AL VALOR AGREGADO","VALOR EFECTIVO","2729.81","1815.22","2717.23","1547.66","2001.51","3717.59","1571.99","29.65","0.4","11.03","15.52","233.93","17.65","0.0","443.15","224.11","0.0","33.79","9.6","12.52","11.16","18.96","3.2","7.01","10.44","0.0","0.0","2.52","0.0","1356.55","69.89","0.0","0.0","0.0","0.0","0.0","0.0","","","0.0","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","",""
"PERSONAS NATURALES","9","IMPUESTOS FOMENTO AMBIENTAL","VALOR EFECTIVO","","110.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","0.0","","","","","630.0","","","","","","","","0.0","","","","","","","","","","","","","","",""
"PERSONAS NATURALES","9","INTERESES TRIBUTARIOS","VALOR EFECTIVO","2.67","","2.12","0.07","4.52","0.91","14.53","","","0.08","2.4","6.98","9.08","","10.75","2.09","","","9.45","","","","","","0.08","","","0.49","0.07","80.04","7.29","","","","","","","","","","","","","2.22","","","","","","","","","","","","","","","","","2.1","","","","","","","","","","","",""
"PERSONAS NATURALES","9","MULTAS TRIBUTARIAS","VALOR EFECTIVO","64.59","","21.25","5.5","104.26","48.32","117.48","","11.01","7.83","30.07","46.44","19.12","","56.41","28.65","","","41.3","4.89","","","","","0.72","","","0.12","0.36","0.05","279.45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61.8","","","","","","","","","","","",""
"PERSONAS NATURALES","9","OTROS NO TRIBUTARIOS","VALOR EFECTIVO","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","",""
"PERSONAS NATURALES","A","CONTRIBUCIONES","VALOR EFECTIVO","82190.2","25744.48","41914.66","4409.91","9653.83","7206.24","77777.52","9772.09","33108.64","12234.98","6491.94","42263.83","14569.64","34760.4","15217.04","21838.88","19976.32","8279.4","48884.14","13684.04","54677.92","9502.14","1774.52","9528.81","23382.82","2031.02","3467068.36","467353.99","251090.18","3077241.23","204993.63","121257.31","136583.82","182307.26","63093.93","369715.44","188240.22","5772.19","11396.17","25890.46","15049.61","13186.64","50651.41","5192.23","3893.13","1255.13","8439.0","12516.91","14240.33","27241.17","979.48","2027.59","15082.48","71693.07","789896.12","1024.42","10.0","319.22","6042.0","","23132.62","","15269.78","281.41","8082.43","24767.11","113453.73","38999.97","125408.2","60437.64","50006.25","93467.16","19273.64"
"PERSONAS NATURALES","A","DEPURACION","VALOR EFECTIVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0",""
"PERSONAS NATURALES","A","IMP ACTIVOS EN EL EXTERIOR","VALOR EFECTIVO","","","0.0","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","",""
"PERSONAS NATURALES","A","IMP MINERAS","VALOR EFECTIVO","0.0","640.0","6046.48","40.04","","","48.0","","13513.86","1880.0","21056.0","","320.0","2369.49","45140.09","56.04","32.8","6.0","0.0","","850.32","9542.09","","","","6902.71","31348.37","6659.87","","","31.86","0.0","7507.57","66.53","0.84","2162.14","394.0","719.01","14189.95","11385.73","","","0.0","54.0","25557.07","","8.58","17.5","270.6","404.8","22106.79","24902.78","","2339.42","72.36","368.0","8174.26","9.2","","1571.82","376.0","128.6","31873.49","148.8","78.5","","0.0","5853.64","22181.77","8285.25","","133.2","294.6"
"PERSONAS NATURALES","A","IMP TIERRAS RURALES","VALOR EFECTIVO","1486.33","129.21","772.64","258.42","635.44","995.34","423.79","1794.54","1699.26","3050.28","641.28","559.63","723.73","53.0","2752.16","51.0","3675.61","290.12","60.29","2572.94","222.0","112.9","4782.78","51.0","774.73","120.0","354.35","60.0","56.86","23.4","83.0","672.97","22.8","128.71","60.0","","585.44","60.0","","","56.73","268.72","","","","","","","","","0.0","621.75","","1021.44","515.28","","2480.6","","514.6","","","","","","","","","55.62","","","","",""
"PERSONAS NATURALES","A","IMP.ING EXTRAORD. RECUR.NO RENO","VALOR EFECTIVO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PERSONAS NATURALES","A","IMPUESTO A LA RENTA GLOBAL","VALOR EFECTIVO","2012569.42","1596179.57","3002116.12","1195817.4","1403344.17","1682366.45","1752652.49","1776757.22","2145067.4","1945962.5","1734363.19","1623357.28","2804125.45","2213616.32","4453773.47","2043777.11","1820879.09","6429762.73","2032793.73","1881870.81","1881421.08","1896575.42","1826053.48","1975751.92","2432753.18","1781818.04","5658956.7","2241158.92","1853044.73","1707205.51","1474874.49","1641495.74","1896258.1","1626302.64","1679669.4","1574717.2","1715495.8","1580122.02","5816715.23","2293501.48","1758113.41","1725109.38","1740442.63","1561708.39","1616395.26","1447274.87","1487930.02","1508243.1","1778770.49","1382651.0","4854469.87","1570090.55","1696131.1","1753811.68","3452360.84","1390349.61","1463999.82","1405593.2","1418023.22","1333595.39","1800884.73","1500354.05","5667337.24","1854159.95","1639484.34","1694765.4","1659009.8","1553968.29","1478345.69","1611224.63","1648658.88","1570129.57","1935082.41"
"PERSONAS NATURALES","A","IMPUESTO A LOS CONSUMOS ESPECIALES","VALOR EFECTIVO","483.98","493.23","172.18","258.65","102.71","461.23","417.02","299.58","321.93","181.23","343.88","244.52","641.87","324.86","450.29","550.59","380.51","422.53","526.52","722.48","817.14","388.41","480.01","411.72","335.37","259.84","199.41","229.19","245.19","190.8","202.04","182.56","182.64","241.47","219.54","193.09","439.52","272.38","195.59","192.77","163.18","167.34","96.08","168.03","159.76","232.23","198.51","613.29","526.09","209.19","120.94","166.82","93.78","93.13","173.71","135.24","136.85","137.79","128.76","134.25","287.09","154.76","100.75","142.37","233.62","128.62","341.25","124.43","100.51","154.97","73.71","100.9","107.96"
"PERSONAS NATURALES","A","IMPUESTO A LOS VEHICULOS MOTORIZADOS","VALOR EFECTIVO","506863.97","906427.89","526471.26","67846.56","193667.96","678434.02","756720.49","727745.79","723395.12","683186.88","664560.67","690678.3","512454.7","882491.79","998905.67","728099.96","756157.95","802687.88","764039.3","644908.41","675411.62","537668.58","655703.99","515452.42","462316.99","1053637.67","1017443.71","909717.92","904634.49","741644.62","863161.83","897736.21","766167.81","694026.28","667755.53","596007.87","599538.93","1091317.88","1250311.44","998551.66","1050131.84","884314.78","825642.0","838818.7","753814.89","708410.88","690109.29","597504.26","650275.39","1089279.79","1145914.16","1136070.14","970790.49","828452.33","1023099.7","844926.2","768287.77","768029.22","738251.44","671799.81","771420.8","1188745.17","1169507.81","1174018.38","1074362.51","1148403.07","1029321.49","953845.0","921528.74","930920.8","775650.31","704517.76","832838.77"
"PERSONAS NATURALES","A","IMPUESTO AL VALOR AGREGADO","VALOR EFECTIVO","487631.65","360544.39","278275.45","241825.7","219868.25","286275.24","318181.51","365507.76","323419.76","335102.75","444130.66","399058.6","743050.59","518674.46","497133.63","536874.9","489013.51","521697.97","586387.37","535312.19","559497.3","496254.32","508011.74","503551.21","918217.81","497378.02","509809.54","440121.62","417169.07","391413.65","377138.98","388040.61","537603.24","405433.25","468223.0","429595.28","693428.44","478834.57","539951.19","539843.0","483263.61","428432.89","552084.94","455730.2","387442.6","372842.06","409712.27","468311.8","748049.28","507500.72","425274.46","772571.28","558040.73","558307.04","668365.01","532142.1","510299.81","579607.95","553249.53","542715.46","812674.48","619853.38","562042.62","605738.63","637090.9","622596.05","815526.67","593374.67","720484.0","785082.5","642298.77","719009.19","1085271.85"
"PERSONAS NATURALES","A","IMPUESTOS FOMENTO AMBIENTAL","VALOR EFECTIVO","57754.36","87922.32","44332.29","3229.24","12064.13","37006.63","42093.33","43536.86","45148.29","44711.64","45636.62","59345.49","24252.78","33914.92","56960.0","46008.69","53730.22","48789.09","53250.54","66189.69","73399.12","63397.64","53314.76","65196.99","35245.37","46161.52","63116.45","61799.75","71934.1","46114.6","62739.76","60598.32","64109.87","51122.05","66379.89","60435.27","23141.49","31425.57","31014.5","22489.16","19689.62","25887.75","23592.32","21085.76","24139.23","17754.75","13992.69","8059.43","22337.96","23344.06","15478.17","17836.31","25506.86","15356.7","23527.33","4998.56","6160.11","6444.71","4231.01","5866.78","340.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
