"TIPO CONTRIBUYENTE","SECCIÓN","GRUPO","MeasuresLevel","2020/01 Enero","2020/02 Febrero","2020/03 Marzo","2020/04 Abril","2020/05 Mayo","2020/06 Junio","2020/07 Julio","2020/08 Agosto","2020/09 Septiembre","2020/10 Octubre","2020/11 Noviembre","2020/12 Diciembre","2021/01 Enero","2021/02 Febrero","2021/03 Marzo","2021/04 Abril","2021/05 Mayo","2021/06 Junio","2021/07 Julio","2021/08 Agosto","2021/09 Septiembre","2021/10 Octubre","2021/11 Noviembre","2021/12 Diciembre","2022/01 Enero","2022/02 Febrero","2022/03 Marzo","2022/04 Abril","2022/05 Mayo","2022/06 Junio","2022/07 Julio","2022/08 Agosto","2022/09 Septiembre","2022/10 Octubre","2022/11 Noviembre","2022/12 Diciembre","2023/01 Enero","2023/02 Febrero","2023/03 Marzo","2023/04 Abril","2023/05 Mayo","2023/06 Junio","2023/07 Julio","2023/08 Agosto","2023/09 Septiembre","2023/10 Octubre","2023/11 Noviembre","2023/12 Diciembre","2024/01 Enero","2024/02 Febrero","2024/03 Marzo","2024/04 Abril","2024/05 Mayo","2024/06 Junio","2024/07 Julio","2024/08 Agosto","2024/09 Septiembre","2024/10 Octubre","2024/11 Noviembre","2024/12 Diciembre","2025/01 Enero","2025/02 Febrero","2025/03 Marzo","2025/04 Abril","2025/05 Mayo","2025/06 Junio","2025/07 Julio","2025/08 Agosto","2025/09 Septiembre","2025/10 Octubre","2025/11 Noviembre","2025/12 Diciembre","2026/01 Enero"
"SOCIEDADES","NO TIENE","INTERESES TRIBUTARIOS","VALOR RECAUDADO","","","","","","","","","","1.27","","","","56.62","","","","","","","","","","","","","52.38","","","","","1251.2","","","","111531.0","","76083.0","37405.98","","","0.01","","","","","","","","","518.46","","","","","","","0.0","390.19","","","808.02","0.24","","","0.01","","","","340.0","","",""
"SOCIEDADES","NO TIENE","MULTAS TRIBUTARIAS","VALOR RECAUDADO","","","","","","","","","","","60.0","","","","","","","","","","","","","","","","0.01","30.0","30.0","","","","","","","","","","","1.0","30.0","0.03","","","90.02","","0.01","4.91","0.02","","900.0","60.0","0.01","","","90.0","","240.0","468.14","180.08","300.0","191.26","331.24","0.02","150.0","0.02","","0.01","5985.0","480.17","","2695.69","480.06"
"SOCIEDADES","NO TIENE","OTROS NO TRIBUTARIOS","VALOR RECAUDADO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31335.12","","","","1764077.22","","983572.0","341825.63","","","","","","","","","","","","0.0","","","","10.0","","","0.0","","","","","","","0.0","","","","","","","62.5",""
"SOCIEDADES","NO TIENE","SALIDA DE DIVISAS","VALOR RECAUDADO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27225.52","","22899.51","10452.83","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SOCIEDADES","O","CONTRIBUCIONES","VALOR RECAUDADO","294.41","27039.95","109306.48","5832.56","1810.83","1757.67","2922.76","543.5","1202.09","701.5","16184.42","449.2","874.0","2810.78","88602.22","14131.25","396.25","1077.8","1795.63","828.25","822.25","1337.42","1489.77","0.0","4967.97","40.0","809100.79","58070.85","","","0.6","6729.27","","","8277.01","","","","786094.19","","","","","","","","","16986.13","","","73532.62","324236.8","1.7","","1060.97","","","","","","","0.0","340791.95","22440.35","7350.26","","","","","","","1627.51",""
"SOCIEDADES","O","DEPURACION","VALOR RECAUDADO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94811.08","88504.74","0.0"
"SOCIEDADES","O","IMP ACTIVOS EN EL EXTERIOR","VALOR RECAUDADO","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","0.0","","","","","","","","","","","","","","","","0.63","0.0","0.0","0.0","0.0","0.03","0.0","0.0","0.0","0.0","0.0","0.0","0.0","","0.26","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"SOCIEDADES","O","IMP MINERAS","VALOR RECAUDADO","13279.69","19783.86","963845.51","15832.52","557532.74","556421.21","20464.34","9621.1","24989.37","13600.12","1959.66","3489.78","24523.16","136356.75","2006250.13","5556.91","1307.52","100000.0","114624.65","0.0","25258.06","2519.01","0.0","11444.9","11462.66","6537.69","2163986.05","586.21","","180.63","1300.09","661.19","8147.9","63.16","3836.2","2104.96","17439.33","5673.06","1635706.6","18315.27","5037.11","","1674.59","2501.25","12128.52","0.0","20704.75","27074.76","11027.01","14686.13","1754365.33","14527.43","","","10289.45","0.0","24457.42","7362.93","515.2","14949.05","19448.71","240703.0","1465887.56","49449.56","","11244.87","3790.95","3880.35","36921.52","13239.03","0.0","","27401.38"
"SOCIEDADES","O","IMPUESTO A LA RENTA GLOBAL","VALOR RECAUDADO","2.253866711E7","1.056527442E7","1.669103268E7","1.031850868E7","1.292837605E7","8526826.59","1.036767483E7","1.337472767E7","2.128035278E7","1.537889708E7","1.208238185E7","2.744689084E7","2.553308763E7","1.24427267E7","1.334924231E7","1.816270764E7","2.002187211E7","2.112065831E7","1.10456911E7","1.218632737E7","1.883378609E7","1.112059432E7","1.854067436E7","1.573690261E7","2.218253299E7","1.141926489E7","2.076260193E7","2.042011875E7","1.799324769E7","1.850055217E7","2.200956138E7","1.81964718E7","2.149427382E7","1.862269709E7","2.077712864E7","3.031897632E7","3.256572344E7","1.510701431E7","1.433425261E7","2.60781892E7","1.865462112E7","2.071693722E7","1.190440219E7","2.383322442E7","1.903951563E7","1.470781139E7","2.115332263E7","1.977358358E7","2.262297885E7","7713506.34","1.533077743E7","2.045811765E7","1.733893362E7","1.725029227E7","1.476677796E7","2.227764511E7","2.067608379E7","1.351720072E7","2.575103938E7","2.405966939E7","2.99513342E7","1.087931428E7","1.323030584E7","2.320156921E7","1.952135277E7","1.385917426E7","1.920672012E7","1.777645349E7","1.718806485E7","1.951046472E7","1.461259967E7","2.38487402E7","3.077046923E7"
"SOCIEDADES","O","IMPUESTO A LOS CONSUMOS ESPECIALES","VALOR RECAUDADO","6101.73","19977.97","14492.79","14164.42","7065.21","","0.0","7488.12","0.0","","39025.33","16138.22","23514.58","","68252.03","32677.25","42658.27","17751.48","810.0","5829.12","10793.04","592.9","15448.76","25979.1","40198.06","5923.97","592.9","26333.12","59406.68","46470.27","0.0","","44651.38","20544.97","646.8","68333.62","808.9","700.7","50718.11","29485.19","18807.52","689.46","18802.05","32108.51","646.8","26662.75","646.8","26424.8","646.8","14267.2","592.9","32778.77","18297.72","14484.2","592.9","431.2","15607.8","0.0","45546.91","16575.82","0.0","0.0","17633.31","25647.3","23251.29","311.85","15366.64","211.71","28057.06","214.69","14280.04","18424.66","8938.0"
